    020002BJ9 026874DS3 081437AT2 097023CJ2 13645RAD6 13645RBF0 14448CBC7 15135BAW1 21871XAS8 24422EWZ8 24422EXP9 314353AA1 36166NAK9 438516CM6 443201AC2 444859BR2 444859BV3 444859BY7 444859CA8 45687VAB2 539830CD9 540424AT5 56501RAN6 655844CR7 655844CT3 75513EAD3 759351AP4 760759BA7 760759BC3 907818FX1 91324PEJ7 slack_Sx_0 slack_Sx_1 slack_Sx_2 slack_Sy_0 slack_Sy_1 slack_Sy_2 slack_Sy_3         energy num_oc.
749         0         1         0         0         1         1         0         1         0         1         0         1         0         0         0         0         0         0         0         1         0         0         1         0         1         0         0         0         0         0         0          0          0          0          0          0          0          0   -1219701.875       1
179         1         1         0         1         0         0         0         1         0         0         0         1         0         1         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         1          0          0          0          0          0          0          0    -1210351.75       1
859         0         1         1         0         0         0         0         1         0         1         1         1         0         0         1         0         0         1         0         0         0         0         0         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0 -1209066.09375       1
915         0         1         1         1         0         0         0         1         0         0         0         1         0         0         0         0         0         0         1         1         0         0         0         0         1         0         0         0         0         0         1          0          0          0          0          0          0          0  -1196889.9375       1
642         0         0         0         1         1         1         1         1         0         0         0         1         1         0         0         0         0         0         0         1         0         0         0         0         1         0         0         0         0         0         0          0          0          0          0          0          0          0 -1195511.59375       1
140         0         1         0         0         0         0         1         1         0         1         1         1         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         1          0          0          0          0          0          0          0 -1189470.09375       1
811         0         1         0         1         0         0         0         1         0         0         0         1         0         0         1         1         0         1         0         1         0         0         1         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0 -1185963.28125       1
880         1         0         0         1         0         0         0         1         0         1         0         0         1         1         0         0         0         1         1         0         0         0         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0 -1179721.40625       1
945         0         1         0         1         1         1         0         1         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         1          0          0          0          0          0          0          0 -1177449.90625       1
155         1         1         0         1         0         0         1         1         0         0         0         1         0         0         0         0         0         0         0         0         0         0         1         0         1         0         0         0         1         0         0          0          0          0          0          0          0          0  -1171727.9375       1
227         0         0         0         1         1         1         0         1         0         1         0         0         0         0         0         0         0         0         1         1         0         1         0         0         0         0         1         0         0         0         0          0          0          0          0          0          0          0    -1151948.75       1
354         0         0         0         1         0         1         0         1         0         1         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         1         0         0         1         1          0          0          0          0          0          0          0  -1150710.3125       1
366         0         1         0         1         0         1         0         1         0         0         1         0         0         0         1         1         0         0         1         0         0         0         0         0         1         0         0         0         0         0         0          0          0          0          0          0          0          0     -1150492.0       1
68          0         0         0         0         0         0         0         1         0         1         1         1         0         1         1         0         0         1         0         1         1         0         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0 -1149952.78125       1
648         0         1         0         1         0         0         1         1         1         1         0         0         0         0         0         0         0         0         0         0         1         1         0         0         0         1         0         0         0         0         0          0          0          0          0          0          0          0  -1144698.0625       1
577         0         0         0         1         0         0         0         1         0         1         0         0         0         0         1         1         0         0         0         1         0         0         0         0         0         0         0         1         1         1         0          0          0          0          0          0          0          0   -1139961.125       1
738         1         1         0         1         0         1         0         1         0         0         0         0         1         0         0         1         0         0         0         0         0         0         0         1         0         0         0         1         0         0         0          0          0          0          0          0          0          0 -1138239.46875       1
295         0         0         0         1         0         0         0         1         0         1         0         0         1         1         0         1         0         1         0         0         1         0         0         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0 -1134514.71875       1
508         1         0         0         0         1         1         1         1         1         1         0         0         1         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0 -1133734.90625       1
